domain_id,domain_name,control_id,title,description,objective,control_type,frequency,fedramp_delta,mapping_soc2,mapping_iso27001,mapping_iso27017,mapping_iso27018,mapping_nist_csf,mapping_nist_800_53,mapping_fedramp,mapping_pci_dss,mapping_hipaa,mapping_gdpr,mapping_ccpa
RSK,Risk Management,CCF-RSK-02,Risk Assessment Execution,"The organization performs comprehensive risk assessments at least annually and upon significant changes. Assessments identify threats, vulnerabilities, likelihood, and impact. For FedRAMP, risk assessments follow NIST SP 800-30 methodology and include assessment of the full authorization boundary.",Identify and evaluate current security risks based on the threat environment.,Administrative,Annual; upon significant change; new projects/systems,False,CC3.2; CC3.3,A.5.8; A.8.8,,,ID.RA-01; ID.RA-02; ID.RA-03,RA-3; RA-3(1); RA-5,RA-3; RA-3(1),6.3.1; 12.3.1,§164.308(a)(1)(ii)(A),Art. 32(2); Art. 35(1),
RSK,Risk Management,CCF-RSK-03,Risk Treatment and Mitigation,"The organization defines and implements risk treatment plans for identified risks. Treatment options include mitigation, transfer, acceptance, and avoidance. Risk owners are assigned and accountable for implementation.",Ensure identified risks are addressed through appropriate treatment actions.,Administrative,Ongoing; reviewed quarterly,False,CC3.3; CC3.4; CC5.1,A.5.8,,,ID.RA-05; ID.RA-06,RA-7; PM-4,RA-7; PM-4,12.3.1,§164.308(a)(1)(ii)(B),Art. 32(1),
RSK,Risk Management,CCF-RSK-04,Risk Register Maintenance,"The organization maintains a risk register documenting identified risks, risk ratings, risk owners, treatment decisions, and residual risk. The register is reviewed quarterly and upon identification of new material risks.","Maintain a centralized, current view of the organization's risk posture.",Administrative,Quarterly update; continuous intake,False,CC3.2; CC3.4; CC4.1,A.5.8,,,ID.RA-04; GV.RM-05,PM-4; RA-3,PM-4,12.3.1,§164.308(a)(1)(ii)(A),Art. 32(2),
RSK,Risk Management,CCF-RSK-05,Risk Acceptance,The organization maintains a formal risk acceptance process requiring documented approval from the authorizing official (AO) or designated representative for risks that exceed tolerance levels. Accepted risks are tracked in the POA&M and periodically re-evaluated.,Ensure residual risks are consciously accepted by accountable individuals.,Administrative,Per occurrence; annual re-evaluation,False,CC3.4; CC5.3,A.5.8,,,GV.RM-06; GV.RM-07,PM-9; CA-5; CA-6,CA-5; CA-6,12.3.1,§164.308(a)(1)(ii)(B),Art. 32,
RSK,Risk Management,CCF-RSK-06,Threat Intelligence,"The organization collects, analyzes, and acts upon threat intelligence relevant to its industry, technology stack, and threat profile. Threat intelligence feeds include government sources (CISA, US-CERT) and are used to inform risk assessments and security monitoring.",Maintain awareness of the current threat landscape to proactively manage risk.,Operational,Continuous,False,CC3.1; CC7.2,A.5.7,,,ID.RA-02,PM-16; RA-3; SI-5; RA-10,PM-16; SI-5; RA-10,6.3.1,,,
RSK,Risk Management,CCF-RSK-07,Security Categorization (FIPS 199),"The organization categorizes the information system and the information processed, stored, and transmitted by the system in accordance with FIPS 199. The security categorization considers the potential impact on organizational operations, organizational assets, individuals, other organizations, and the Nation. Categorization is documented in the SSP and validated by the AO.",Establish the security impact level that drives control selection and implementation rigor.,Administrative,At system inception; reviewed annually; updated upon significant change,True,,A.5.12,,,ID.AM-05,RA-2,RA-2; FIPS 199; FIPS 200,,,,
RSK,Risk Management,CCF-RSK-08,Authorization to Operate (ATO),The organization obtains and maintains an authorization to operate (ATO) from the designated authorizing official (AO) prior to placing the system into operation. The authorization is based on a comprehensive security assessment and acceptance of residual risk. The ATO is reauthorized per FedRAMP continuous monitoring requirements.,Obtain formal risk acceptance and operational authorization from the responsible authority.,Administrative,Initial authorization; continuous monitoring; annual ATO review,True,,,,,GV.OV-01,CA-6; CA-6(1),CA-6; FedRAMP Authorization Process,,,,
HRS,Human Resources Security,CCF-HRS-01,Personnel Screening,"The organization screens individuals prior to authorizing access to the information system. Screening is commensurate with the position risk designation and includes, at minimum, national agency checks. For FedRAMP High, personnel with access to federal data must undergo background investigation consistent with the position sensitivity level per OPM guidance.",Verify the trustworthiness of personnel commensurate with their access level and position risk.,Administrative,Prior to access; rescreening per position sensitivity (minimum every 5 years),True,CC1.4,A.6.1,,A.11.4,PR.IP-11,PS-3; PS-3(3),PS-3; PS-3(3); FedRAMP High: Position Sensitivity,12.7; 12.7.1,§164.308(a)(3)(ii)(B),,
HRS,Human Resources Security,CCF-HRS-02,Confidentiality and Security Agreements,"Personnel and relevant third parties sign confidentiality (NDA) and security obligation agreements as a condition of access. Agreements cover data handling, acceptable use, and post-employment obligations.",Establish binding security and confidentiality obligations for all personnel.,Administrative,At hire/engagement; upon material policy change,False,CC1.4; CC1.5,A.6.2; A.5.14,6.1.2,A.6.1.2,PR.IP-11,PS-6; PL-4,PS-6; PL-4,12.8.2,§164.308(a)(4)(ii)(B); §164.314(a)(2),Art. 28(3); Art. 38(5),§1798.140(w)
HRS,Human Resources Security,CCF-HRS-03,Security Awareness Training,"The organization provides role-based security awareness training to all personnel upon hire and at least annually. Training covers security policies, phishing, social engineering, data handling, and incident reporting. Specialized training is provided for personnel with significant security responsibilities. Training content is updated to reflect current threats.",Ensure all personnel understand their security responsibilities.,Administrative,At onboarding; annual refresher; role-based as needed,False,CC1.4; CC2.2,A.6.3,7.2.2,A.7.2.2,PR.AT-01; PR.AT-02,AT-1; AT-2; AT-2(2); AT-3; AT-4,AT-1; AT-2; AT-2(2); AT-3; AT-4,12.6; 12.6.1; 12.6.2,§164.308(a)(5)(i); §164.308(a)(5)(ii)(A),Art. 39(1)(b),
HRS,Human Resources Security,CCF-HRS-04,Disciplinary Process,"The organization maintains a formal disciplinary process for personnel who violate security policies, including escalation and consequences proportionate to the violation.",Deter security policy violations and ensure consistent enforcement.,Administrative,Per occurrence; annual policy review,False,CC1.5,A.6.4,,,,PS-8,PS-8,12.6.3.2,§164.308(a)(1)(ii)(C),,
HRS,Human Resources Security,CCF-HRS-05,Personnel Offboarding and Termination,"The organization implements a formal offboarding process ensuring timely revocation of access upon termination, resignation, or role change. Access is revoked same-day for involuntary termination. The process includes return of assets, revocation of all logical and physical access, and retrieval of authenticators.",Prevent unauthorized access by former or transitioning personnel.,Administrative,Per occurrence; same-day for involuntary; within 24 hours for voluntary,False,CC6.2; CC6.5,A.6.5,,,PR.AA-05,PS-4; PS-4(2); PS-5,PS-4; PS-4(2); PS-5,8.2.6; 12.7,§164.308(a)(3)(ii)(C),,
HRS,Human Resources Security,CCF-HRS-06,Personnel Transfer,The organization reviews and modifies logical and physical access authorizations when personnel are reassigned or transferred to new positions. Access rights are adjusted within 24 hours to reflect new role requirements and remove access no longer needed.,Ensure access remains appropriate when personnel change roles within the organization.,Administrative,Per transfer event; within 24 hours,True,CC6.2,A.5.18,,,PR.AA-05,PS-5,PS-5,7.2.4,§164.308(a)(3)(ii)(B),,
HRS,Human Resources Security,CCF-HRS-07,Third-Party Personnel Security,"The organization ensures third-party providers (contractors, MSPs, subprocessors) comply with personnel security requirements including screening, training, and access termination equivalent to those applied to organizational employees, commensurate with access level.",Extend personnel security controls to non-employee personnel with system access.,Administrative,At engagement; annual verification; upon contract change,True,CC9.2,A.5.19; A.5.20,,,GV.SC-05,PS-7,PS-7,12.8,§164.308(b)(1),Art. 28(3),
AAM,Asset Management,CCF-AAM-01,Asset Inventory,"The organization maintains a complete and accurate inventory of information assets including hardware, software, cloud resources, and data stores. Asset ownership is assigned and the inventory is updated continuously or quarterly.",Maintain visibility into all organizational assets.,Operational,Continuous (automated); quarterly manual review,False,CC6.1,A.5.9; A.5.10; A.5.11,8.1.1,,ID.AM-01; ID.AM-02,CM-8; CM-8(1); CM-8(2); CM-8(3); PM-5,CM-8; CM-8(1); CM-8(2); CM-8(3),9.5.1; 12.5.1,§164.310(d)(1),Art. 30,§1798.100(a)
AAM,Asset Management,CCF-AAM-02,Data Classification,"The organization implements a data classification scheme that categorizes data based on sensitivity, regulatory requirements, and business value. Classification levels drive handling, storage, and transmission requirements.",Enable appropriate protection of data based on its sensitivity.,Administrative,At data creation; reviewed annually,False,CC6.1; C1.1,A.5.12; A.5.13,8.2.2,A.10.1,ID.AM-05,RA-2; SC-16,RA-2,9.4.1,§164.312(a)(1),Art. 9; Art. 10,§1798.140(v)
AAM,Asset Management,CCF-AAM-03,Media and Asset Disposal,The organization implements procedures for secure disposal and destruction of media and assets containing sensitive data. Methods are commensurate with data classification and NIST SP 800-88 guidelines. Disposal includes verification of destruction.,Prevent unauthorized disclosure through improper asset disposal.,Operational,Per occurrence; annual process review,False,CC6.5,A.7.10; A.7.14; A.8.10,,A.9.4.2,PR.DS-03,MP-6; MP-6(1); MP-6(2); PE-16,MP-6; MP-6(1); MP-6(2); NIST SP 800-88,9.4.5; 9.4.6; 9.4.7,§164.310(d)(2)(i); §164.310(d)(2)(ii),Art. 17,§1798.105
AAM,Asset Management,CCF-AAM-04,Cloud Resource Management,"The organization maintains an inventory and governance process for cloud resources including IaaS, PaaS, and SaaS. Cloud resource provisioning follows approved architecture patterns and is subject to configuration management and tagging standards.","Ensure cloud resources are inventoried, governed, and secured.",Operational,Continuous (automated); monthly review,False,CC6.1; CC7.1,A.5.23,CLD.6.3; CLD.8.1,,ID.AM-02,CM-8; SA-9,CM-8; SA-9,2.1.1,§164.308(a)(1)(ii)(A),Art. 28,
AAM,Asset Management,CCF-AAM-05,Media Transport and Storage Protection,"The organization protects and controls digital and non-digital media during transport outside of controlled areas. Controls include encryption of digital media, use of tamper-evident packaging for physical media, and use of authorized couriers. Media transport is logged and tracked.","Prevent unauthorized access, modification, or loss of data during media transport.",Operational,Per transport event; annual process review,True,CC6.7,A.7.10,,,PR.DS-02,MP-5; MP-5(4),MP-5; MP-5(4),9.4,§164.310(d)(1),,
AAM,Asset Management,CCF-AAM-06,Media Access Restrictions,The organization restricts access to digital and non-digital media containing sensitive information to authorized individuals. Media access controls are commensurate with the sensitivity of the information and include physical and logical restrictions.,Prevent unauthorized access to information on removable and portable media.,Operational,Continuous enforcement; quarterly review,True,CC6.1,A.7.10,,,PR.DS-01,MP-2; MP-4; MP-7,MP-2; MP-4; MP-7,9.4.1,§164.310(d)(1),,
IAM,Identity and Access Management,CCF-IAM-01,Access Control Policy,"The organization establishes an access control policy based on least privilege and need-to-know principles. The policy defines access authorization requirements, RBAC standards, and procedures for granting, modifying, and revoking access.",Establish the foundational policy for controlling access to organizational resources.,Administrative,Annual review; update upon significant change,False,CC6.1; CC6.3,A.5.15; A.8.3,9.1.1,,PR.AA-01,AC-1; AC-2; AC-3,AC-1; AC-2; AC-3,7.1; 7.2,§164.312(a)(1); §164.308(a)(4)(i),Art. 25; Art. 32(1)(b),
IAM,Identity and Access Management,CCF-IAM-02,User Provisioning and Deprovisioning,"The organization implements formal processes for provisioning and deprovisioning user accounts. Provisioning requires documented authorization. Deprovisioning occurs promptly upon role change, transfer, or termination.",Ensure access is granted only when authorized and removed when no longer needed.,Operational,Per occurrence; automated where possible,False,CC6.1; CC6.2,A.5.16; A.5.18,9.2.1,,PR.AA-01; PR.AA-05,AC-2; AC-2(1); AC-2(2); AC-2(3); AC-2(4),AC-2; AC-2(1); AC-2(2); AC-2(3); AC-2(4),7.1; 8.2.4; 8.2.5; 8.2.6,§164.308(a)(3)(ii)(A); §164.308(a)(3)(ii)(C),,
IAM,Identity and Access Management,CCF-IAM-03,Multi-Factor Authentication,"The organization requires multi-factor authentication (MFA) for all access to production systems, remote access, administrative interfaces, and cloud consoles. For FedRAMP High, MFA must be phishing-resistant (e.g., PIV, FIDO2) for privileged access and conform to NIST SP 800-63B AAL2 or higher.",Reduce unauthorized access risk from credential compromise.,Technical,Continuous enforcement; annual MFA coverage review,True,CC6.1; CC6.6,A.8.5,9.4.2,,PR.AA-03,IA-2(1); IA-2(2); IA-2(6); IA-2(8); IA-2(12),IA-2(1); IA-2(2); IA-2(6); IA-2(8); IA-2(12); NIST SP 800-63B,8.4.1; 8.4.2; 8.4.3,§164.312(d),Art. 32(1)(b),
IAM,Identity and Access Management,CCF-IAM-04,Privileged Access Management,"The organization restricts and monitors privileged (administrative) access. Privileged access uses separate accounts, is subject to enhanced logging, and is reviewed quarterly. Just-in-time (JIT) privileged access is implemented where technically feasible.",Minimize attack surface from administrative access.,Technical,Continuous enforcement; quarterly privileged account review,False,CC6.1; CC6.3,A.8.2; A.8.18,9.2.3,,PR.AA-05,AC-6(1); AC-6(2); AC-6(5); AC-6(7); AC-6(9); AC-6(10),AC-6(1); AC-6(2); AC-6(5); AC-6(7); AC-6(9); AC-6(10),7.2.1; 8.6.1,§164.312(a)(1),Art. 32(1)(b),
IAM,Identity and Access Management,CCF-IAM-05,Access Reviews,"The organization conducts periodic access reviews to validate access rights remain appropriate. Reviews cover standard, privileged, and third-party accounts. Inappropriate access is remediated promptly.",Detect and remediate access drift and excessive permissions.,Operational,Quarterly for privileged; semi-annually for standard,False,CC6.1; CC6.2; CC6.3,A.5.18; A.8.2,9.2.5,,PR.AA-05,AC-2(3); AC-6(7),AC-2(3); AC-6(7),7.2.4; 7.2.5,§164.308(a)(4)(ii)(C),,
IAM,Identity and Access Management,CCF-IAM-06,Password and Credential Management,"The organization enforces password and credential management standards including minimum complexity, prohibition of credential sharing, and secure storage using approved hashing algorithms. For FedRAMP, password policies conform to NIST SP 800-63B memorized secret guidelines.","Ensure credentials are strong, unique, and securely managed.",Technical,Continuous enforcement,False,CC6.1,A.5.17; A.8.5,9.4.3,,PR.AA-03,IA-5; IA-5(1); IA-5(2); IA-5(6),IA-5; IA-5(1); IA-5(2); IA-5(6); NIST SP 800-63B,8.3.1; 8.3.4; 8.3.6; 8.3.7,§164.312(d),Art. 32(1),
IAM,Identity and Access Management,CCF-IAM-07,Service Account and API Key Management,"The organization manages service accounts, API keys, and machine credentials through formal lifecycle processes. Service accounts are inventoried, assigned owners, granted minimum permissions, and subject to credential rotation.",Prevent unauthorized access through unmanaged non-human identities.,Technical,Continuous; quarterly inventory review; rotation per policy,False,CC6.1; CC6.3,A.5.16; A.5.18; A.8.5,9.2.1,,PR.AA-01; PR.AA-03,AC-2; IA-4; IA-5,AC-2; IA-4; IA-5,8.6.1; 8.6.2; 8.6.3,§164.312(d),,
IAM,Identity and Access Management,CCF-IAM-08,Single Sign-On and Centralized Authentication,The organization implements centralized authentication through SSO integrated with a corporate identity provider. Application access is federated through the IdP.,Centralize authentication for consistent policy enforcement.,Technical,Continuous; annual SSO coverage review,False,CC6.1,A.8.5,9.4.2,,PR.AA-03,IA-2; IA-8,IA-2; IA-8; IA-8(1); IA-8(2); IA-8(4),7.2; 8.4,§164.312(d),,
IAM,Identity and Access Management,CCF-IAM-09,Remote Access Security,"The organization controls remote access through authorized, encrypted channels. Remote access requires MFA and is logged.",Secure remote connectivity while maintaining visibility.,Technical,Continuous enforcement,False,CC6.1; CC6.6,A.8.1; A.6.7,,,PR.AA-03,AC-17; AC-17(1); AC-17(2); AC-17(3); AC-17(4),AC-17; AC-17(1); AC-17(2); AC-17(3); AC-17(4),8.4.3,§164.312(a)(1); §164.312(e)(1),Art. 32(1),
IAM,Identity and Access Management,CCF-IAM-10,Separation of Duties,"The organization defines and enforces separation of duties for critical functions to prevent any single individual from controlling all aspects of a critical process. Duties are divided such that no one person can authorize, execute, and review a sensitive action. Separation is enforced through technical controls (RBAC, workflow approvals) and documented in the SSP.","Prevent fraud, error, and abuse through mandatory division of critical functions.",Administrative,Continuous enforcement; annual role/duty matrix review,True,CC5.1; CC6.1,A.5.3,6.1.2,,PR.AA-05,AC-5,AC-5,6.5.2,,,
IAM,Identity and Access Management,CCF-IAM-11,Session Management,"The organization manages user sessions including: (a) limiting concurrent sessions per user per FedRAMP parameter values; (b) enforcing session lock after 15 minutes of inactivity; (c) terminating sessions after conditions are met (e.g., inactivity timeout, session maximum); (d) displaying session lock with pattern-hiding display.",Prevent unauthorized access through unattended or excessive sessions.,Technical,Continuous enforcement; annual parameter review,True,CC6.1,A.8.1,11.2.8,,PR.AA-03,AC-10; AC-11; AC-11(1); AC-12,AC-10; AC-11; AC-11(1); AC-12,8.2.8,§164.312(a)(2)(iii),,
IAM,Identity and Access Management,CCF-IAM-12,Information Flow Enforcement,"The organization enforces approved authorizations for controlling the flow of information within the system and between connected systems based on security policy. Information flow controls include boundary protections, data guards, and cross-domain solutions where applicable.",Ensure information flows only through authorized paths and between authorized entities.,Technical,Continuous enforcement; annual flow rule review,True,CC6.1; CC6.6,A.8.22,,,PR.DS-02,AC-4; AC-4(4),AC-4; AC-4(4),1.3.1,§164.312(e)(1),,
IAM,Identity and Access Management,CCF-IAM-13,Wireless Access Restrictions,"The organization restricts and monitors wireless access to the information system. Wireless access points are authorized, documented, and configured with encryption (WPA3 or WPA2-Enterprise minimum). Rogue wireless access point detection is implemented. Guest wireless is segmented from production networks.",Prevent unauthorized network access through wireless attack vectors.,Technical,Continuous; quarterly wireless scan; annual policy review,True,CC6.6,A.8.20,,,PR.AA-03,AC-18; AC-18(1); AC-18(4); AC-18(5),AC-18; AC-18(1); AC-18(4); AC-18(5),11.2.1,,,
CRY,Cryptography,CCF-CRY-01,Cryptographic Policy and FIPS Validation,"The organization establishes a cryptographic policy requiring the use of FIPS 140-2 (or FIPS 140-3) validated cryptographic modules for all encryption operations protecting federal data. The policy defines approved algorithms, key lengths, and use cases. Non-validated modules are prohibited for federal workloads.",Ensure all cryptographic protections meet federal validation requirements.,Administrative,Annual review; update upon cryptographic vulnerability disclosure,True,CC6.1; CC6.7,A.8.24,10.1.1,A.10.1.2,PR.DS-01; PR.DS-02,SC-13,SC-13; FIPS 140-2; FIPS 140-3,3.6.1; 4.2.1,§164.312(a)(2)(iv); §164.312(e)(2)(ii),Art. 32(1)(a),§1798.150(a)
CRY,Cryptography,CCF-CRY-02,Encryption at Rest,"The organization encrypts sensitive data at rest using FIPS-validated modules and approved algorithms (e.g., AES-256) across all storage systems. Encryption is enforced by default for all environments containing production or federal data.",Protect stored data from unauthorized disclosure.,Technical,Continuous enforcement; annual configuration review,False,CC6.1; CC6.7; C1.1,A.8.24,10.1.1,A.11.6,PR.DS-01,SC-28; SC-28(1),SC-28; SC-28(1),3.5.1; 3.5.1.1,§164.312(a)(2)(iv),Art. 32(1)(a),§1798.150(a)
CRY,Cryptography,CCF-CRY-03,Encryption in Transit,The organization encrypts data in transit using FIPS-validated modules and approved protocols (TLS 1.2+ with FIPS-approved cipher suites). Unencrypted transmission of sensitive data is prohibited. Certificate validation is enforced.,Protect data from interception or tampering during transmission.,Technical,Continuous enforcement; annual protocol review,False,CC6.1; CC6.7; C1.1,A.8.24,10.1.1; 13.1.1,A.13.1.1,PR.DS-02,SC-8; SC-8(1); SC-23,SC-8; SC-8(1); SC-23,4.2.1; 4.2.1.1,§164.312(e)(1); §164.312(e)(2)(ii),Art. 32(1)(a),
CRY,Cryptography,CCF-CRY-04,Cryptographic Key Management,"The organization implements key management covering generation, distribution, storage, rotation, revocation, and destruction. Keys are generated using FIPS-approved random number generators, stored in FIPS-validated KMS/HSM, and rotated per defined schedules.",Ensure cryptographic keys are securely managed throughout their lifecycle.,Technical,Continuous; rotation per policy; annual review,False,CC6.1; CC6.7,A.8.24,10.1.2,A.10.1.2,PR.DS-01,SC-12; SC-12(1),SC-12; SC-12(1),3.6.1; 3.7.1; 3.7.2; 3.7.3; 3.7.4,§164.312(a)(2)(iv),Art. 32(1)(a),
CRY,Cryptography,CCF-CRY-05,Certificate Management,"The organization maintains an inventory of TLS/SSL and digital certificates, monitors expiration, and ensures timely renewal. Certificates use approved key lengths and algorithms.",Prevent service disruptions from expired or misconfigured certificates.,Operational,Continuous monitoring; automated renewal where possible,False,CC6.7,A.8.24,10.1.1,,PR.DS-02,SC-17,SC-17,4.2.1,,,
PHY,Physical Security,CCF-PHY-01,Physical Access Controls,"The organization restricts physical access to facilities, data centers, and sensitive areas to authorized personnel. Access control mechanisms include badge systems, biometric readers, and key management.",Prevent unauthorized physical access.,Physical,Continuous enforcement; quarterly access list review,False,CC6.4,A.7.1; A.7.2; A.7.3,11.1.1,,PR.AA-02,PE-2; PE-3; PE-3(1); PE-6; PE-6(1),PE-2; PE-3; PE-3(1); PE-6; PE-6(1),9.2; 9.3,§164.310(a)(1); §164.310(a)(2)(ii),Art. 32(1)(b),
PHY,Physical Security,CCF-PHY-02,Visitor Management,"The organization maintains visitor management including registration, identification, escort requirements, and log maintenance.",Control and document visitor access.,Physical,Per occurrence; monthly log review,False,CC6.4,A.7.2,,,PR.AA-02,PE-8; PE-8(1),PE-8; PE-8(1),9.3.1; 9.3.2,§164.310(a)(2)(iii),,
PHY,Physical Security,CCF-PHY-03,Environmental Controls,"The organization implements environmental protections including fire detection/suppression, HVAC, water detection, and UPS. Systems are monitored and tested.",Protect systems from environmental threats.,Physical,Continuous monitoring; semi-annual testing,False,A1.2,A.7.5; A.7.8; A.7.11; A.7.12,,,PR.IR-03,PE-10; PE-11; PE-11(1); PE-12; PE-13; PE-13(1); PE-13(2); PE-14; PE-15,PE-10; PE-11; PE-11(1); PE-12; PE-13; PE-13(1); PE-13(2); PE-14; PE-15,9.1.1,§164.310(a)(2)(ii),,
PHY,Physical Security,CCF-PHY-04,Equipment Security and Maintenance,"The organization protects equipment from theft, loss, and unauthorized access. Equipment is maintained per manufacturer specifications.",Ensure equipment remains secure and operational.,Physical,Continuous; scheduled maintenance,False,CC6.4; CC6.5,A.7.8; A.7.9; A.7.10; A.7.13,,,PR.IR-01,MA-2; MA-2(2); MA-3; MA-3(1); MA-3(2); MA-4; MA-4(3); MA-5; MA-6; PE-16,MA-2; MA-2(2); MA-3; MA-3(1); MA-3(2); MA-4; MA-4(3); MA-5; MA-6,9.4.3,§164.310(c),,
OPS,Operations Security,CCF-OPS-01,System Hardening,"The organization establishes system hardening standards for all OS, databases, containers, and network devices. Systems are hardened prior to deployment and compliance is continuously monitored against approved baselines (e.g., CIS Benchmarks, STIGs).",Reduce attack surface.,Technical,At provisioning; continuous drift detection,False,CC6.1; CC6.8; CC7.1,A.8.9,12.1.1,,PR.IR-01,CM-6; CM-6(1); CM-7; CM-7(1); CM-7(2); SC-2,CM-6; CM-6(1); CM-7; CM-7(1); CM-7(2),2.2; 2.2.1; 2.2.4,§164.312(a)(1),Art. 32(1),
