domain_id,domain_name,control_id,title,description,objective,control_type,frequency,mapping_soc2,mapping_iso27001,mapping_iso27017,mapping_iso27018,mapping_nist_csf,mapping_nist_800_53,mapping_pci_dss,mapping_hipaa,mapping_gdpr,mapping_ccpa
RSK,Risk Management,CCF-RSK-05,Risk Acceptance,The organization maintains a formal risk acceptance process requiring documented approval from authorized management for risks that exceed tolerance levels or will not be treated within defined timeframes. Accepted risks are periodically re-evaluated.,Ensure residual risks are consciously accepted by accountable individuals.,Administrative,Per occurrence; annual re-evaluation of accepted risks,CC3.4; CC5.3,A.5.8,,,GV.RM-06; GV.RM-07,PM-9; CA-5,12.3.1,§164.308(a)(1)(ii)(B),Art. 32,
RSK,Risk Management,CCF-RSK-06,Threat Intelligence,"The organization collects, analyzes, and acts upon threat intelligence relevant to its industry, technology stack, and threat profile. Threat information is used to inform risk assessments, security monitoring, and vulnerability management activities.",Maintain awareness of the current threat landscape to proactively manage risk.,Operational,Continuous,CC3.1; CC7.2,A.5.7,,,ID.RA-02,PM-16; RA-3; SI-5,6.3.1,,,
HRS,Human Resources Security,CCF-HRS-01,Background Screening,The organization conducts background checks on personnel prior to granting access to organizational systems and data. The scope of screening is commensurate with the role's level of access and applicable legal requirements.,Verify the trustworthiness and suitability of personnel before granting access.,Administrative,Prior to employment/engagement; periodic re-screening for sensitive roles,CC1.4,A.6.1,,A.11.4,PR.IP-11,PS-3,12.7; 12.7.1,§164.308(a)(3)(ii)(B),,
HRS,Human Resources Security,CCF-HRS-02,Confidentiality and Security Agreements,"Personnel and relevant third parties are required to acknowledge and sign confidentiality (NDA) and security obligations as a condition of access to organizational systems and data. Agreements cover data handling, acceptable use, and post-employment obligations.",Establish binding security and confidentiality obligations for all personnel.,Administrative,At hire/engagement; upon material policy change,CC1.4; CC1.5,A.6.2; A.5.14,6.1.2,A.6.1.2,PR.IP-11,PS-6; PL-4,12.8.2,§164.308(a)(4)(ii)(B); §164.314(a)(2),Art. 28(3); Art. 38(5),§1798.140(w)
HRS,Human Resources Security,CCF-HRS-03,Security Awareness Training,"The organization provides security awareness training to all personnel upon hire and at least annually thereafter. Training covers the organization's security policies, common threats (phishing, social engineering), data handling requirements, and incident reporting procedures. Role-specific training is provided for personnel in security-sensitive functions.",Ensure all personnel understand their security responsibilities and can identify common threats.,Administrative,At onboarding; annual refresher; ad hoc for emerging threats,CC1.4; CC2.2,A.6.3,7.2.2,A.7.2.2,PR.AT-01; PR.AT-02,AT-2; AT-3; AT-4,12.6; 12.6.1; 12.6.2,§164.308(a)(5)(i); §164.308(a)(5)(ii)(A),Art. 39(1)(b); Art. 47(2)(n),
HRS,Human Resources Security,CCF-HRS-04,Disciplinary Process,"The organization maintains a formal disciplinary process for personnel who violate security policies. The process includes escalation procedures, investigation steps, and consequences proportionate to the severity and nature of the violation.",Deter security policy violations and ensure consistent enforcement.,Administrative,Per occurrence; annual policy review,CC1.5,A.6.4,,,,PS-8,12.6.3.2,§164.308(a)(1)(ii)(C),,
HRS,Human Resources Security,CCF-HRS-05,Personnel Offboarding and Termination,"The organization implements a formal offboarding process that ensures timely revocation of access upon termination, resignation, or role change. The process includes return of assets, revocation of logical and physical access, and knowledge transfer where appropriate.",Prevent unauthorized access by former or transitioning personnel.,Administrative,Per occurrence (same day for involuntary; within 24 hours for voluntary),CC6.2; CC6.5,A.6.5,,,PR.AA-05,PS-4; PS-5,8.2.6; 12.7,§164.308(a)(3)(ii)(C),,
AAM,Asset Management,CCF-AAM-01,Asset Inventory,"The organization maintains a complete and accurate inventory of information assets including hardware, software, cloud resources, and data stores. Asset ownership is assigned and the inventory is updated continuously or reviewed at least quarterly.",Maintain visibility into all organizational assets to enable effective security management.,Operational,Continuous (automated); quarterly manual review,CC6.1,A.5.9; A.5.10; A.5.11,8.1.1,,ID.AM-01; ID.AM-02,CM-8; PM-5,9.5.1; 12.5.1,§164.310(d)(1),Art. 30,§1798.100(a)
AAM,Asset Management,CCF-AAM-02,Data Classification,"The organization implements a data classification scheme that categorizes data based on sensitivity, regulatory requirements, and business value. Classification levels (e.g., Public, Internal, Confidential, Restricted) drive data handling, storage, and transmission requirements.",Enable appropriate protection of data based on its sensitivity and value.,Administrative,At data creation; reviewed annually; upon regulatory change,CC6.1; C1.1,A.5.12; A.5.13,8.2.2,A.10.1,ID.AM-05,RA-2; SC-16,9.4.1,§164.312(a)(1),Art. 9; Art. 10,§1798.140(v)
AAM,Asset Management,CCF-AAM-03,Media and Asset Disposal,The organization implements procedures for the secure disposal and destruction of media and assets containing sensitive data. Disposal methods are commensurate with the data classification and include verification of destruction.,Prevent unauthorized disclosure of data through improper asset disposal.,Operational,Per occurrence; annual process review,CC6.5,A.7.10; A.7.14; A.8.10,,A.9.4.2,PR.DS-03,MP-6; PE-16,9.4.5; 9.4.6; 9.4.7,§164.310(d)(2)(i); §164.310(d)(2)(ii),Art. 17,§1798.105
AAM,Asset Management,CCF-AAM-04,Cloud Resource Management,"The organization maintains an inventory and governance process for cloud resources, including IaaS, PaaS, and SaaS services. Cloud resource provisioning follows approved architecture patterns and is subject to configuration management and tagging standards.","Ensure cloud resources are inventoried, governed, and secured throughout their lifecycle.",Operational,Continuous (automated); monthly review,CC6.1; CC7.1,A.5.23,CLD.6.3; CLD.8.1,,ID.AM-02,CM-8; SA-9,2.1.1; 11.2.1,§164.308(a)(1)(ii)(A),Art. 28,
IAM,Identity and Access Management,CCF-IAM-01,Access Control Policy,"The organization establishes an access control policy based on the principles of least privilege and need-to-know. The policy defines access authorization requirements, role-based access control (RBAC) standards, and procedures for granting, modifying, and revoking access.",Establish the foundational policy for controlling access to organizational resources.,Administrative,Annual review; update upon significant change,CC6.1; CC6.3,A.5.15; A.8.3,9.1.1,,PR.AA-01,AC-1; AC-2; AC-3,7.1; 7.2,§164.312(a)(1); §164.308(a)(4)(i),Art. 25; Art. 32(1)(b),
IAM,Identity and Access Management,CCF-IAM-02,User Provisioning and Deprovisioning,"The organization implements a formal process for provisioning and deprovisioning user accounts. Provisioning requires documented authorization from appropriate management. Deprovisioning occurs promptly upon role change, transfer, or termination.",Ensure access is granted only when authorized and removed when no longer needed.,Operational,Per occurrence; automated where possible,CC6.1; CC6.2,A.5.16; A.5.18,9.2.1,,PR.AA-01; PR.AA-05,AC-2,7.1; 8.2.4; 8.2.5; 8.2.6,§164.308(a)(3)(ii)(A); §164.308(a)(3)(ii)(C),,
IAM,Identity and Access Management,CCF-IAM-03,Multi-Factor Authentication,"The organization requires multi-factor authentication (MFA) for all access to production systems, remote access, administrative interfaces, cloud consoles, and customer-facing applications where supported. MFA methods conform to industry standards (e.g., TOTP, FIDO2, push notification).",Reduce the risk of unauthorized access due to credential compromise.,Technical,Continuous enforcement; annual MFA coverage review,CC6.1; CC6.6,A.8.5,9.4.2,,PR.AA-03,IA-2(1); IA-2(2),8.4.1; 8.4.2; 8.4.3,§164.312(d),Art. 32(1)(b),
IAM,Identity and Access Management,CCF-IAM-04,Privileged Access Management,"The organization restricts and monitors privileged (administrative) access to information systems. Privileged access is granted based on demonstrated need, uses separate accounts from standard user accounts, and is subject to enhanced logging and periodic review.",Minimize the attack surface from administrative access and ensure accountability.,Technical,Continuous enforcement; quarterly review of privileged accounts,CC6.1; CC6.3,A.8.2; A.8.18,9.2.3,,PR.AA-05,AC-6(5); AC-6(7); AC-6(10),7.2.1; 8.6.1,§164.312(a)(1),Art. 32(1)(b),
IAM,Identity and Access Management,CCF-IAM-05,Access Reviews,"The organization conducts periodic access reviews to validate that user access rights remain appropriate and aligned with job responsibilities. Reviews cover both standard and privileged accounts, including third-party access. Inappropriate access is remediated promptly.","Detect and remediate access drift, orphaned accounts, and excessive permissions.",Operational,Quarterly for privileged access; semi-annually for standard access,CC6.1; CC6.2; CC6.3,A.5.18; A.8.2,9.2.5,,PR.AA-05,AC-2(3); AC-6(7),7.2.4; 7.2.5,§164.308(a)(4)(ii)(C),,
IAM,Identity and Access Management,CCF-IAM-06,Password and Credential Management,"The organization enforces password and credential management standards including minimum complexity requirements, expiration policies (where applicable), and prohibition of credential sharing. Credentials are stored using secure hashing algorithms and never in plaintext.","Ensure authentication credentials are strong, unique, and securely managed.",Technical,Continuous enforcement,CC6.1,A.5.17; A.8.5,9.4.3,,PR.AA-03,IA-5,8.3.1; 8.3.4; 8.3.6; 8.3.7,§164.312(d),Art. 32(1),
IAM,Identity and Access Management,CCF-IAM-07,Service Account and API Key Management,"The organization manages service accounts, API keys, and machine credentials through a formal lifecycle process. Service accounts are inventoried, assigned owners, granted minimum necessary permissions, and subject to credential rotation. Shared or embedded credentials are prohibited.",Prevent unauthorized access through unmanaged non-human identities.,Technical,Continuous; quarterly inventory review; rotation per policy,CC6.1; CC6.3,A.5.16; A.5.18; A.8.5,9.2.1,,PR.AA-01; PR.AA-03,AC-2; IA-4; IA-5,8.6.1; 8.6.2; 8.6.3,§164.312(d),,
IAM,Identity and Access Management,CCF-IAM-08,Single Sign-On and Centralized Authentication,"The organization implements centralized authentication through a single sign-on (SSO) solution integrated with a corporate identity provider (IdP). Application access is federated through the IdP, enabling centralized policy enforcement and streamlined access lifecycle management.",Centralize authentication to enable consistent policy enforcement and auditability.,Technical,Continuous; annual coverage review for SSO integration gaps,CC6.1,A.8.5,9.4.2,,PR.AA-03,IA-2; IA-8,7.2; 8.4,§164.312(d),,
IAM,Identity and Access Management,CCF-IAM-09,Remote Access Security,"The organization controls remote access to organizational systems through authorized, encrypted channels (e.g., VPN, zero-trust network access). Remote access requires MFA and is logged. Access from unmanaged or non-compliant devices is restricted.",Secure remote connectivity while maintaining visibility and control.,Technical,Continuous enforcement,CC6.1; CC6.6,A.8.1; A.6.7,,,PR.AA-03,AC-17,8.4.3; 12.3.1,§164.312(a)(1); §164.312(e)(1),Art. 32(1),
CRY,Cryptography,CCF-CRY-01,Encryption Policy,"The organization establishes a cryptographic policy that defines approved encryption standards, algorithms, key lengths, and use cases for data at rest, in transit, and in use. The policy prohibits the use of deprecated or weak cryptographic methods.",Establish consistent cryptographic standards across the organization.,Administrative,Annual review; update upon cryptographic vulnerability disclosure,CC6.1; CC6.7,A.8.24,10.1.1,A.10.1.2,PR.DS-01; PR.DS-02,SC-13,3.6.1; 4.2.1,§164.312(a)(2)(iv); §164.312(e)(2)(ii),Art. 32(1)(a),§1798.150(a)
CRY,Cryptography,CCF-CRY-02,Encryption at Rest,"The organization encrypts sensitive data at rest using approved algorithms (e.g., AES-256) across all storage systems including databases, object storage, file systems, backups, and removable media. Encryption is enforced by default for all environments containing production or customer data.",Protect stored data from unauthorized disclosure in the event of unauthorized access to storage systems.,Technical,Continuous enforcement; annual configuration review,CC6.1; CC6.7; C1.1,A.8.24,10.1.1,A.11.6,PR.DS-01,SC-28,3.5.1; 3.5.1.1,§164.312(a)(2)(iv),Art. 32(1)(a),§1798.150(a)
CRY,Cryptography,CCF-CRY-03,Encryption in Transit,"The organization encrypts data in transit using approved protocols (e.g., TLS 1.2+, SSH) for all internal and external communications. Unencrypted transmission of sensitive data is prohibited. Certificate validation is enforced and insecure protocol fallback is disabled.",Protect data from interception or tampering during transmission.,Technical,Continuous enforcement; annual protocol review,CC6.1; CC6.7; C1.1,A.8.24,10.1.1; 13.1.1,A.13.1.1,PR.DS-02,SC-8; SC-23,4.2.1; 4.2.1.1,§164.312(e)(1); §164.312(e)(2)(ii),Art. 32(1)(a),
CRY,Cryptography,CCF-CRY-04,Cryptographic Key Management,"The organization implements a key management program covering the full lifecycle of cryptographic keys: generation, distribution, storage, rotation, revocation, and destruction. Keys are generated using approved random number generators, stored in dedicated key management systems (KMS/HSM), and rotated per defined schedules.",Ensure cryptographic keys are securely managed throughout their lifecycle.,Technical,Continuous; rotation per policy; annual key management review,CC6.1; CC6.7,A.8.24,10.1.2,A.10.1.2,PR.DS-01,SC-12,3.6.1; 3.7.1; 3.7.2; 3.7.3; 3.7.4,§164.312(a)(2)(iv),Art. 32(1)(a),
CRY,Cryptography,CCF-CRY-05,Certificate Management,"The organization maintains an inventory of TLS/SSL and other digital certificates, monitors certificate expiration, and ensures timely renewal. Certificates are issued by trusted certificate authorities and use approved key lengths and algorithms.",Prevent service disruptions and security exposures from expired or misconfigured certificates.,Operational,Continuous monitoring; automated renewal where possible,CC6.7,A.8.24,10.1.1,,PR.DS-02,SC-17,4.2.1,,,
PHY,Physical Security,CCF-PHY-01,Physical Access Controls,"The organization restricts physical access to facilities, data centers, and sensitive areas to authorized personnel. Access control mechanisms include badge systems, biometric readers, and key management. Access is granted based on job role and revoked promptly upon role change or termination.",Prevent unauthorized physical access to facilities containing information assets.,Physical,Continuous enforcement; quarterly access list review,CC6.4,A.7.1; A.7.2; A.7.3,11.1.1,,PR.AA-02,PE-2; PE-3; PE-6,9.2; 9.3,§164.310(a)(1); §164.310(a)(2)(ii); §164.310(a)(2)(iii),Art. 32(1)(b),
PHY,Physical Security,CCF-PHY-02,Visitor Management,"The organization maintains a visitor management process that includes visitor registration, identification verification, escort requirements, and visitor log maintenance. Visitors are not permitted unescorted access to sensitive areas.",Control and document visitor access to organizational facilities.,Physical,Per occurrence; monthly log review,CC6.4,A.7.2,,,PR.AA-02,PE-8,9.3.1; 9.3.2; 9.3.3,§164.310(a)(2)(iii),,
PHY,Physical Security,CCF-PHY-03,Environmental Controls,"The organization implements environmental protections for facilities housing critical systems including fire detection and suppression, climate controls (HVAC), water detection, and uninterruptible power supply (UPS). Environmental systems are monitored and tested regularly.",Protect information systems from environmental threats and failures.,Physical,Continuous monitoring; semi-annual testing,A1.2,A.7.5; A.7.8; A.7.11; A.7.12,,,PR.IR-03,PE-10; PE-11; PE-12; PE-13; PE-14; PE-15,9.1.1,§164.310(a)(2)(ii),,
PHY,Physical Security,CCF-PHY-04,Equipment Security and Maintenance,"The organization implements controls to protect equipment from theft, loss, and unauthorized access. Equipment is maintained according to manufacturer specifications and service schedules. Off-site equipment is subject to the same security requirements as on-site assets.",Ensure organizational equipment remains secure and operational.,Physical,Continuous; scheduled maintenance per equipment type,CC6.4; CC6.5,A.7.8; A.7.9; A.7.10; A.7.13,,,PR.IR-01,MA-2; MA-3; MA-4; PE-16,9.4.3; 9.4.4,§164.310(c); §164.310(d)(1),,
OPS,Operations Security,CCF-OPS-01,System Hardening,"The organization establishes and maintains system hardening standards (benchmarks) for all operating systems, databases, containers, and network devices. Systems are hardened prior to production deployment and configuration compliance is continuously monitored against approved baselines (e.g., CIS Benchmarks).","Reduce the attack surface by removing unnecessary services, features, and default configurations.",Technical,At provisioning; continuous drift detection; quarterly benchmark review,CC6.1; CC6.8; CC7.1,A.8.9,12.1.1,,PR.IR-01,CM-6; CM-7; SC-2,2.2; 2.2.1; 2.2.4; 2.2.5,§164.312(a)(1),Art. 32(1),
OPS,Operations Security,CCF-OPS-02,Vulnerability Management,"The organization maintains a vulnerability management program that includes regular vulnerability scanning (infrastructure, application, container), assessment, prioritization, and remediation. Critical and high vulnerabilities in production are remediated within defined SLAs. Vulnerability assessment results are tracked to closure.",Identify and remediate security vulnerabilities before they can be exploited.,Operational,"Continuous scanning; remediation per SLA (e.g., Critical: 7 days, High: 30 days)",CC7.1; CC3.2,A.8.8,12.6.1,,ID.RA-01; PR.IR-01,RA-5; SI-2,6.3.1; 11.3.1; 11.3.2,§164.308(a)(1)(ii)(A),Art. 32(1),
OPS,Operations Security,CCF-OPS-03,Patch Management,"The organization implements a patch management process that ensures timely application of security patches across operating systems, applications, firmware, and third-party components. Patches are tested before deployment to production and deployed within defined SLAs based on severity.",Remediate known vulnerabilities through timely patching of systems and software.,Operational,Continuous; patching per SLA; monthly patching cycles for routine updates,CC7.1,A.8.8; A.8.19,12.6.1,,PR.IR-01,SI-2,6.3.3,§164.308(a)(1)(ii)(A),Art. 32(1),
OPS,Operations Security,CCF-OPS-04,Malware Protection,"The organization deploys endpoint protection (EPP/EDR) solutions across all endpoints and servers. Anti-malware definitions are updated automatically. Endpoint protection alerts are monitored, triaged, and investigated. Users are prevented from disabling endpoint security controls.",Detect and prevent malware infections across organizational systems.,Technical,Continuous; daily signature updates; real-time behavioral analysis,CC6.8; CC7.1,A.8.7,12.2.1,,DE.CM-01,SI-3,5.2; 5.3; 5.3.1; 5.3.2,§164.308(a)(5)(ii)(B),Art. 32(1),
OPS,Operations Security,CCF-OPS-05,Backup Management,"The organization performs regular backups of critical data and system configurations. Backups are encrypted, tested for recoverability on a defined schedule, and stored in geographically separated locations. Backup retention periods align with business requirements and regulatory obligations.","Ensure data and system recoverability in the event of data loss, corruption, or disaster.",Operational,Daily backups (or per RPO); quarterly restore testing,A1.2; CC7.5,A.8.13,12.3.1,A.9.4.2,PR.DS-04,CP-9; CP-10,9.4.1.1,§164.308(a)(7)(ii)(A); §164.310(d)(2)(iv),Art. 32(1)(c),
OPS,Operations Security,CCF-OPS-06,Capacity and Performance Management,"The organization monitors system capacity and performance to ensure adequate resources are available to meet operational demands. Capacity thresholds are defined, monitored, and trigger automated scaling or alerting. Capacity planning is performed periodically to anticipate future needs.",Ensure system availability and performance by proactively managing resource capacity.,Operational,Continuous monitoring; quarterly capacity planning,A1.1; A1.2,A.8.6,12.1.3,,PR.IR-04,CP-2; SC-5,,§164.308(a)(7)(ii)(B),Art. 32(1)(b),
OPS,Operations Security,CCF-OPS-07,Clock Synchronization,"The organization synchronizes system clocks across all infrastructure to a consistent, authoritative time source (e.g., NTP, GPS). Accurate time synchronization is essential for log correlation, forensic investigation, and compliance evidence.",Ensure accurate and consistent timestamps across all systems for auditability.,Technical,Continuous synchronization; quarterly verification,CC7.2,A.8.17,,,DE.AE-05,AU-8,10.6; 10.6.1; 10.6.2; 10.6.3,§164.312(b),,
NET,Network Security,CCF-NET-01,Network Architecture and Segmentation,"The organization designs and maintains a network architecture that segments systems based on trust levels, data sensitivity, and functional requirements. Production, staging, development, and corporate environments are logically or physically segmented. Network segmentation is enforced through firewalls, VPCs, security groups, or equivalent controls.",Limit the blast radius of security incidents and enforce data isolation.,Technical,Continuous enforcement; annual architecture review,CC6.1; CC6.6,A.8.22,13.1.3,,PR.IR-01,SC-7; AC-4,1.2.1; 1.3.1; 1.3.2; 1.4.1,§164.312(e)(1),Art. 32(1),
NET,Network Security,CCF-NET-02,Firewall and Security Group Management,"The organization implements and maintains firewalls, security groups, and network ACLs to control traffic flow between network segments and to/from the internet. Firewall rules follow deny-by-default principles, are documented with business justification, and are reviewed at least semi-annually.",Control network traffic flow and enforce authorized communication paths.,Technical,Continuous enforcement; semi-annual rule review,CC6.1; CC6.6,A.8.20; A.8.21,13.1.1,,PR.IR-01,SC-7(5),1.2.1; 1.2.5; 1.2.6; 1.2.7,§164.312(e)(1),Art. 32(1),
NET,Network Security,CCF-NET-03,Intrusion Detection and Prevention,"The organization deploys network intrusion detection and prevention systems (IDS/IPS) at critical network boundaries and internal segments. Detection signatures and behavioral rules are updated regularly. Alerts are monitored, triaged, and investigated.",Detect and block malicious network activity.,Technical,Continuous monitoring; daily signature updates,CC7.2; CC7.3,A.8.16,,,DE.CM-01,SI-4,11.5; 11.5.1,§164.312(b),Art. 32(1),
NET,Network Security,CCF-NET-04,Web Application Firewall,The organization deploys a web application firewall (WAF) in front of all public-facing web applications. The WAF is configured to detect and block common web attacks (OWASP Top 10) and is tuned to minimize false positives while maintaining effective protection.,Protect public-facing web applications from common attack vectors.,Technical,Continuous enforcement; quarterly rule review,CC6.6,A.8.20,,,PR.IR-01; DE.CM-06,SC-7; SI-4,6.4.1; 6.4.2,,Art. 32(1),
NET,Network Security,CCF-NET-05,DDoS Protection,"The organization implements distributed denial-of-service (DDoS) protection for public-facing services and infrastructure. Protection includes volumetric, protocol, and application-layer DDoS mitigation. Response procedures and escalation paths are documented and tested.",Maintain service availability against denial-of-service attacks.,Technical,Continuous; annual DDoS simulation/tabletop,A1.2; CC6.6,A.8.20,13.1.3,,PR.IR-04,SC-5,11.5,§164.308(a)(7)(i),Art. 32(1)(b),
NET,Network Security,CCF-NET-06,DNS Security,"The organization implements DNS security controls including DNSSEC where applicable, DNS filtering, and monitoring for DNS-based attacks (e.g., tunneling, cache poisoning). Internal DNS is separated from external DNS resolution.",Protect DNS infrastructure from manipulation and abuse.,Technical,Continuous; annual configuration review,CC6.6; CC7.1,A.8.20,,,PR.IR-01,SC-20; SC-21; SC-22,,,,
SDL,Secure Development Lifecycle,CCF-SDL-01,Secure Development Policy,"The organization establishes a secure development policy that mandates security activities throughout the software development lifecycle (SDLC). The policy covers secure coding standards, security testing requirements, code review expectations, and security approval gates.",Ensure security is a first-class requirement throughout the development process.,Administrative,Annual review; update for new technology stacks,CC8.1,A.8.25; A.8.26,14.1.1,,PR.IR-01,SA-3; SA-15,6.2; 6.2.1,§164.312(a)(1),Art. 25,
SDL,Secure Development Lifecycle,CCF-SDL-02,Security Requirements in Design,"The organization incorporates security and privacy requirements into the design phase of application and system development. Threat modeling or security design reviews are conducted for new features, significant changes, and new integrations.",Identify and address security risks early in the design phase.,Operational,Per feature/project; at design phase,CC8.1,A.8.25,14.1.1,,PR.IR-01,SA-8; SA-11,6.2.1,,Art. 25(1),
SDL,Secure Development Lifecycle,CCF-SDL-03,Code Review,"The organization requires peer code review for all changes to production code prior to merge and deployment. Code reviews evaluate functional correctness, security implications, coding standards compliance, and identify potential vulnerabilities or logic flaws.",Catch defects and security issues before code reaches production.,Operational,Per code change (every pull request/merge request),CC8.1,A.8.25,,,PR.IR-01,SA-11,6.2.3.1,,,
SDL,Secure Development Lifecycle,CCF-SDL-04,Static and Dynamic Application Security Testing,"The organization integrates static application security testing (SAST) and dynamic application security testing (DAST) into the CI/CD pipeline. SAST scans are performed on every build. DAST scans are performed against staging/pre-production environments on a regular cadence. Findings are triaged, prioritized, and remediated per defined SLAs.",Identify application-level vulnerabilities through automated testing.,Technical,SAST: every build; DAST: per release or at minimum monthly,CC7.1; CC8.1,A.8.25; A.8.29,,,PR.IR-01; DE.CM-06,SA-11,6.2.4; 11.3.1,§164.308(a)(1)(ii)(A),Art. 32(1),
SDL,Secure Development Lifecycle,CCF-SDL-05,Penetration Testing,"The organization conducts penetration testing of production applications and infrastructure at least annually and upon significant changes. Testing includes both external and internal perspectives, is performed by qualified testers (internal or third-party), and findings are remediated within defined SLAs.",Validate security controls through adversarial testing of production systems.,Operational,Annual (minimum); upon major release; continuous for bug bounty programs,CC4.1; CC7.1,A.8.8,,,ID.RA-01,CA-8,11.4; 11.4.1,§164.308(a)(8),Art. 32(1)(d),
